"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:03",1,390,10,390,7,423,94,466,10
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:05",31,390,1070,389,1070,354,969,392,1038
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:07",12,10,434,10,432,21,544,84,507
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:09",7,390,222,392,220,391,248,421,109
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:12",4,1530,10,1532,8,1453,5,1474,22
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:14",19,390,646,388,645,381,694,406,660
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:15",14,770,434,771,435,755,481,743,449
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:18",35,1910,1070,1911,1072,2147483647,1022,1884,1034
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:19",16,1530,434,1531,435,1533,478,1497,504
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:21",35,1910,1070,1911,1072,2147483647,1028,1857,1009
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:24",8,770,222,768,221,733,216,800,169
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:26",7,390,222,390,222,397,213,356,67
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:28",30,10,1070,11,1069,9,990,4,1012
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:30",21,1150,646,1148,644,1108,681,1136,692
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:32",5,1910,10,1909,9,1827,56,1864,50
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:34",0,10,10,12,9,114,69,2147483647,2147483647
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:36",9,1150,222,1151,222,1085,263,1108,208
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:39",25,390,858,388,857,341,833,383,861
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:41",5,1910,10,1908,8,2147483647,2147483647,1811,1
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:44",13,390,434,390,434,390,467,407,473
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:47",0,10,10,10,9,73,0,43,88
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:49",15,1150,434,1150,432,1130,464,1147,526
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:51",11,1910,222,1909,220,1829,243,1861,352
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:53",12,10,434,9,433,4,522,108,496
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:55",25,390,858,390,857,373,825,411,843
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:57",23,1910,646,1911,645,2147483647,704,1870,743
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:08:58",6,10,222,10,223,5,232,2147483647,2147483647
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:00",33,1150,1070,1149,1070,1206,971,1091,958
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:02",16,1530,434,1529,433,1498,432,1526,508
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:04",14,770,434,769,432,768,522,765,471
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:05",28,1530,858,1531,859,1563,848,1536,826
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:08",19,390,646,390,645,366,669,401,620
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:10",20,770,646,771,646,771,673,829,667
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:11",10,1530,222,1531,222,1042,2147483647,1501,230
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:13",23,1910,646,1911,646,1916,682,1912,720
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:15",27,1150,858,1150,858,1164,818,1176,822
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:18",28,1530,858,1530,857,1555,869,1501,796
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:20",3,1150,10,1149,10,889,2147483647,1355,2147483647
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:23",32,770,1070,768,1069,780,917,686,972
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:25",8,770,222,771,221,752,175,780,130
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:26",27,1150,858,1148,858,1146,811,1105,814
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:29",4,1530,10,1529,12,1347,37,1424,54
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:31",33,1150,1070,1149,1069,1158,994,1139,939
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:33",31,390,1070,391,1070,352,1018,337,1022
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:34",17,1910,434,1911,435,2147483647,490,1902,557
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:36",3,1150,10,1151,9,1018,20,1123,10
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:38",17,1910,434,1912,433,2147483647,477,1902,525
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:40",18,10,646,12,646,118,649,77,639
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:41",2,770,10,770,11,2147483647,2147483647,2147483647,2147483647
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:43",18,10,646,9,646,85,643,29,641
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:45",30,10,1070,10,1070,24,1035,1,1032
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:47",6,10,222,9,220,14,201,13,92
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:50",29,1910,858,1910,855,2147483647,887,1872,871
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:52",2,770,10,768,8,747,1,896,5
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:53",21,1150,646,1149,644,1112,659,1186,679
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:54",26,770,858,771,859,775,805,767,829
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:56",9,1150,222,1148,222,1130,220,1112,145
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:09:58",15,1150,434,1150,433,1130,463,1173,528
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:10:00",34,1530,1070,1532,1068,1642,982,1515,979
"near_chinrest","187","Gazepoint GP3","2023-07-18 15:10:02",13,390,434,392,435,389,431,398,431
