"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:50:59",21,1150,646,1150,644,1150,559,1124,547
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:00",15,1150,434,1150,432,1149,536,1207,517
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:02",25,390,858,389,856,395,952,307,890
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:03",22,1530,646,1530,646,1513,606,1487,696
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:05",7,390,222,389,222,354,365,349,342
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:07",24,10,858,8,859,25,1023,5,986
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:08",6,10,222,11,221,127,362,3,320
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:09",11,1910,222,1908,220,1841,354,1890,272
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:11",20,770,646,769,644,791,694,756,665
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:12",27,1150,858,1148,856,1100,770,1076,896
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:14",31,390,1070,390,1069,310,1063,334,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:15",1,390,10,389,10,414,138,378,134
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:17",25,390,858,389,856,336,881,342,849
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:18",17,1910,434,1909,435,1886,504,1822,437
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:20",1,390,10,389,10,437,148,410,218
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:22",35,1910,1070,1908,1069,1827,2147483647,1779,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:23",15,1150,434,1150,432,1206,360,1195,355
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:24",21,1150,646,1150,646,1183,552,1090,560
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:26",2,770,10,769,10,801,63,717,80
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:28",30,10,1070,9,1068,96,2147483647,43,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:30",7,390,222,388,222,402,213,349,212
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:31",30,10,1070,8,1069,24,2147483647,3,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:33",5,1910,10,1910,12,2147483647,92,1917,10
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:34",18,10,646,8,647,135,829,81,823
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:36",13,390,434,388,434,375,549,428,539
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:37",20,770,646,768,645,717,692,778,666
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:39",4,1530,10,1528,12,1555,4,1527,4
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:41",14,770,434,771,434,780,595,775,581
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:42",2,770,10,769,11,798,169,841,182
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:44",4,1530,10,1529,11,1546,225,1491,194
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:46",34,1530,1070,1529,1069,1409,2147483647,1521,1073
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:47",35,1910,1070,1910,1070,1820,2147483647,1871,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:48",34,1530,1070,1530,1070,1467,1010,1491,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:50",17,1910,434,1911,434,1876,472,1854,561
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:51",23,1910,646,1911,646,1902,796,1791,732
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:53",12,10,434,9,435,129,498,44,556
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:54",27,1150,858,1151,859,1129,891,1071,887
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:56",29,1910,858,1908,859,1872,914,1805,958
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:51:58",32,770,1070,768,1070,788,1044,702,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:00",23,1910,646,1911,644,1883,741,2147483647,725
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:01",24,10,858,9,856,90,1030,9,971
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:02",26,770,858,769,859,742,787,681,794
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:04",33,1150,1070,1150,1069,1086,999,1087,1041
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:05",16,1530,434,1532,433,1558,418,1516,431
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:07",18,10,646,11,647,36,840,53,733
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:09",0,10,10,8,10,101,296,45,275
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:11",5,1910,10,1909,11,1908,280,1832,256
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:12",13,390,434,392,432,300,447,259,455
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:14",22,1530,646,1531,645,1468,804,1506,779
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:15",26,770,858,772,857,755,975,653,919
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:16",14,770,434,769,435,810,530,713,568
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:17",33,1150,1070,1148,1068,1154,1035,1080,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:19",19,390,646,388,646,400,815,349,728
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:20",29,1910,858,1907,858,1878,832,1869,954
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:22",31,390,1070,391,1068,467,2147483647,381,2147483647
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:23",28,1530,858,1530,857,1583,842,1459,850
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:24",32,770,1070,768,1069,738,2147483647,621,1020
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:26",12,10,434,9,434,55,565,3,506
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:28",0,10,10,9,10,132,260,61,248
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:29",6,10,222,10,220,166,378,92,437
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:31",16,1530,434,1528,433,1496,412,1488,450
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:32",28,1530,858,1527,858,1594,789,1502,833
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:34",9,1150,222,1151,224,1159,360,1145,306
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:35",3,1150,10,1150,10,1209,18,1138,0
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:37",19,390,646,391,646,375,610,324,586
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:38",8,770,222,771,220,706,275,808,245
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:39",9,1150,222,1149,222,1163,298,1133,326
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:40",11,1910,222,1909,222,1867,272,1904,381
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:42",10,1530,222,1530,222,1559,147,1501,96
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:43",8,770,222,769,220,810,301,750,290
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:44",3,1150,10,1149,9,1205,76,1130,86
"mid_chinrest","262","Gazepoint GP3","2022-03-24 16:52:46",10,1530,222,1528,221,1512,252,1460,217
