"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:18",18,10,646,9,646,72,616,124,629
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:22",27,1150,858,1149,858,1075,834,994,810
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:23",23,1910,646,1910,643,1713,639,1772,533
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:25",5,1910,10,1908,8,1570,472,2147483647,2147483647
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:26",20,770,646,769,644,768,640,2147483647,2147483647
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:28",15,1150,434,1150,433,1110,446,1099,179
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:29",8,770,222,771,222,700,13,784,21
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:31",2,770,10,770,11,817,223,798,186
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:32",11,1910,222,1911,220,1628,359,2147483647,2147483647
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:34",18,10,646,9,646,2147483647,2147483647,31,689
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:36",22,1530,646,1531,645,1313,742,1319,654
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:38",35,1910,1070,1910,1069,1533,999,1624,1033
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:40",21,1150,646,1148,646,1065,600,1116,484
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:42",33,1150,1070,1149,1069,1053,901,1098,947
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:43",6,10,222,10,223,172,178,170,318
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:46",3,1150,10,1149,9,1096,43,1205,88
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:47",17,1910,434,1910,433,2147483647,2147483647,2147483647,2147483647
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:49",8,770,222,769,222,725,39,687,65
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:51",3,1150,10,1148,10,1096,191,1138,38
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:54",26,770,858,769,856,770,986,670,908
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:57",30,10,1070,9,1069,108,995,13,1062
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:32:59",23,1910,646,1909,646,1611,699,1636,696
"far_chinrest","256","Gazepoint GP3","2021-11-30 16:33:01",20,770,646,769,646,587,309,512,159
