"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:21",22,1530,646,1531,645,1586,690,1452,661
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:23",17,1910,434,1910,434,1914,497,1803,451
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:24",16,1530,434,1529,434,1572,479,1436,455
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:26",19,390,646,388,646,455,657,310,685
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:27",30,10,1070,11,1070,31,1119,10,1069
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:29",18,10,646,9,645,50,656,1,647
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:30",18,10,646,10,644,81,651,4294967273,664
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:32",19,390,646,390,645,447,638,316,676
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:33",17,1910,434,1909,433,1907,502,1818,431
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:35",22,1530,646,1530,646,1561,706,1436,661
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:37",13,390,434,389,433,462,447,309,457
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:38",20,770,646,770,645,836,644,684,676
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:40",25,390,858,389,856,450,870,328,884
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:41",33,1150,1070,1149,1069,1203,1083,1033,1103
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:43",25,390,858,388,856,442,878,330,861
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:44",20,770,646,769,646,835,665,672,710
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:45",13,390,434,388,434,431,444,306,471
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:47",4,1530,10,1528,10,1567,73,1481,59
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:49",33,1150,1070,1150,1069,1201,1092,1055,1079
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:50",7,390,222,391,222,444,242,317,234
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:52",11,1910,222,1908,223,1927,311,1835,242
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:53",28,1530,858,1531,857,1587,928,1428,882
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:55",34,1530,1070,1529,1069,1562,1165,1415,1086
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:56",4,1530,10,1530,12,1584,51,1447,40
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:56:58",16,1530,434,1530,433,1562,466,1440,467
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:00",24,10,858,9,858,58,860,4294967283,862
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:01",26,770,858,771,856,834,862,709,895
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:02",24,10,858,10,857,30,873,9,868
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:04",5,1910,10,1908,9,1913,117,1851,56
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:05",7,390,222,390,224,456,228,320,265
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:06",29,1910,858,1908,857,1927,973,1797,865
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:07",29,1910,858,1909,857,1918,976,1782,873
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:08",0,10,10,10,9,74,50,4294967259,29
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:10",1,390,10,389,9,448,29,306,59
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:11",9,1150,222,1152,221,1209,259,1058,277
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:12",12,10,434,9,432,57,449,4294967261,437
"mid_unrestricted","262","SR Eyelink 1000 Plus","2022-03-24 16:57:14",34,1530,1070,1528,1068,1536,1152,1406,1131
