"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:28",33,1150,1070,1149,1070,1150,1054,1102,1014
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:30",14,770,434,771,433,769,451,754,448
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:31",27,1150,858,1150,861,1127,858,1096,846
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:33",14,770,434,770,433,768,442,770,438
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:34",10,1530,222,1529,220,1562,245,1516,234
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:36",23,1910,646,1909,646,1900,678,1851,629
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:38",5,1910,10,1909,10,1928,4294967279,1864,4294967289
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:40",12,10,434,8,435,43,393,2,403
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:41",27,1150,858,1148,860,1179,867,1093,822
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:43",18,10,646,8,646,41,619,0,632
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:46",32,770,1070,769,1069,810,1071,755,1067
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:47",13,390,434,388,434,386,427,345,420
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:50",24,10,858,10,858,71,846,4294967274,842
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:51",1,390,10,387,10,402,8,351,5
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:54",11,1910,222,1910,220,1938,224,1852,226
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:54",11,1910,222,1907,222,1931,237,1836,233
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:16:57",35,1910,1070,1910,1069,1894,1113,1863,1065
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:00",28,1530,858,1528,859,1551,873,1486,861
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:01",15,1150,434,1149,433,1160,459,1129,455
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:03",7,390,222,389,222,425,234,348,232
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:04",2,770,10,770,8,793,32,719,4294967290
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:06",3,1150,10,1149,9,1193,10,1123,7
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:07",9,1150,222,1148,222,1180,251,1143,243
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:09",30,10,1070,8,1070,80,1070,14,1084
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:10",34,1530,1070,1530,1069,1565,1105,1514,1073
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:13",17,1910,434,1909,434,1938,427,1841,430
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:15",21,1150,646,1148,646,1208,636,1114,647
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:17",4,1530,10,1530,9,1572,2,1515,4294967276
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:19",16,1530,434,1530,433,1572,435,1483,438
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:21",3,1150,10,1151,10,1191,4294967270,1099,4294967278
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:22",15,1150,434,1149,432,1183,432,1130,428
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:24",22,1530,646,1529,645,1558,645,1479,629
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:26",13,390,434,390,435,407,426,351,433
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:29",30,10,1070,8,1068,85,1067,3,1063
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:31",1,390,10,389,8,395,12,365,4294967293
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:33",24,10,858,7,858,62,859,5,854
"far_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:17:34",7,390,222,390,220,390,233,357,222
