"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:33",13,390,434,390,431,407,421,366,405
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:35",2,770,10,770,9,808,29,761,47
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:37",3,1150,10,1150,9,1198,21,1136,11
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:40",12,10,434,10,432,56,436,4294967292,450
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:42",11,1910,222,1909,221,1927,224,1846,208
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:45",20,770,646,768,645,808,666,727,613
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:46",3,1150,10,1148,9,1172,25,1134,39
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:49",29,1910,858,1910,855,1919,838,1855,822
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:50",22,1530,646,1528,644,1567,654,1480,623
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:52",13,390,434,388,433,414,420,357,423
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:54",1,390,10,391,10,445,50,335,31
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:56",11,1910,222,1910,222,1939,222,1841,207
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:21:59",34,1530,1070,1531,1069,1562,1061,1454,1045
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:02",9,1150,222,1150,221,1196,201,1093,222
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:03",25,390,858,389,857,418,866,327,889
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:05",15,1150,434,1152,432,1190,438,1100,432
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:06",33,1150,1070,1150,1067,1204,1074,1131,1078
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:08",28,1530,858,1530,856,1573,842,1464,850
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:09",7,390,222,391,222,417,230,379,242
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:11",1,390,10,389,8,441,37,341,30
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:12",23,1910,646,1911,644,1945,636,1837,622
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:14",21,1150,646,1148,645,1204,659,1101,619
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:17",5,1910,10,1909,9,1926,29,1857,8
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:19",28,1530,858,1528,857,1573,877,1475,843
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:21",32,770,1070,769,1069,820,1122,715,1069
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:26",10,1530,222,1528,222,1581,230,1473,212
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:27",16,1530,434,1528,433,1579,430,1468,410
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:28",19,390,646,390,646,432,654,339,656
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:30",22,1530,646,1529,644,1581,659,1465,620
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:32",18,10,646,8,647,51,637,4294967286,676
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:33",26,770,858,770,857,830,882,715,858
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:35",5,1910,10,1908,8,1930,44,1857,15
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:37",33,1150,1070,1151,1069,1201,1092,1111,1094
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:39",30,10,1070,8,1070,40,1110,4294967271,1135
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:41",4,1530,10,1532,11,1568,46,1495,19
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:42",8,770,222,768,220,807,233,729,226
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:44",6,10,222,8,222,65,262,4294967274,222
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:46",2,770,10,769,10,819,44,731,46
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:48",26,770,858,770,860,831,884,737,844
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:50",0,10,10,12,8,47,41,4294967179,4294967193
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:52",8,770,222,769,222,817,229,713,242
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:53",9,1150,222,1149,221,1198,236,1104,227
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:55",17,1910,434,1911,434,1949,426,1854,417
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:22:57",27,1150,858,1149,858,1196,891,1089,839
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:00",25,390,858,388,857,414,885,319,863
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:03",7,390,222,390,221,438,242,332,227
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:04",18,10,646,11,647,60,647,4294967275,653
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:06",6,10,222,9,220,75,259,4294967266,232
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:08",30,10,1070,8,1069,17,1114,4294967258,1126
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:10",34,1530,1070,1529,1068,1557,1105,1473,1068
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:12",4,1530,10,1529,11,1568,38,1489,25
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:14",16,1530,434,1529,435,1584,425,1460,424
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:16",14,770,434,769,434,802,426,701,427
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:18",24,10,858,9,857,43,868,4294967265,890
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:19",24,10,858,9,856,56,862,4294967253,907
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:20",15,1150,434,1152,435,1197,449,1086,446
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:22",23,1910,646,1910,646,1947,639,1850,655
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:24",0,10,10,10,8,50,36,4294967178,4294967186
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:26",17,1910,434,1907,434,1935,427,1849,426
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:27",29,1910,858,1909,856,1922,846,1838,832
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:30",19,390,646,388,644,435,656,335,633
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:31",32,770,1070,769,1070,838,1134,706,1089
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:33",14,770,434,768,434,792,441,721,439
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:35",21,1150,646,1149,644,1196,652,1074,622
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:36",12,10,434,9,434,35,440,4294967278,454
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:38",27,1150,858,1150,858,1178,887,1086,854
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:39",10,1530,222,1532,222,1553,254,1455,238
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:42",31,390,1070,389,1068,423,1115,328,1107
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:42",31,390,1070,389,1068,414,1099,329,1101
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:45",35,1910,1070,1911,1069,1894,1077,1822,1041
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:45",35,1910,1070,1907,1070,1895,1068,1834,1053
"mid_chinrest","422","SR Eyelink 1000 Plus","2022-04-04 17:23:47",20,770,646,769,645,778,639,734,639
