"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:22:40",32,770,1070,769,1068,681,983,816,993
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:22:46",20,770,646,769,644,675,639,807,571
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:22:55",17,1910,434,1910,432,1774,583,1823,618
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:01",8,770,222,769,220,756,148,683,230
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:04",2,770,10,769,9,725,49,711,19
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:08",14,770,434,769,432,774,371,688,349
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:13",32,770,1070,769,1068,715,1004,743,988
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:18",34,1530,1070,1529,1068,1574,1049,1540,1068
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:22",26,770,858,769,857,663,780,743,811
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:28",4,1530,10,1529,9,1474,116,1479,51
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:36",29,1910,858,1908,856,1857,915,1771,886
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:40",10,1530,222,1529,220,1488,359,1497,283
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:43",0,10,10,9,8,25,189,11,186
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:46",15,1150,434,1150,432,1150,468,1135,490
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:50",30,10,1070,10,1069,8,2147483647,33,1079
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:53",1,390,10,390,8,382,7,323,3
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:23:55",9,1150,222,1150,219,1072,221,1130,237
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:00",0,10,10,10,7,35,68,435,807
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:05",10,1530,222,1529,221,1552,218,1469,150
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:09",22,1530,646,1530,644,1454,690,1512,668
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:12",33,1150,1070,1149,1069,1138,1056,1167,1072
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:14",28,1530,858,1530,857,1555,886,1577,918
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:17",1,390,10,389,8,421,172,371,146
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:20",30,10,1070,9,1068,4,1067,7,2147483647
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:26",24,10,858,8,856,6,852,67,868
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:31",33,1150,1070,1149,1068,1076,1000,1106,1010
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:34",22,1530,646,1529,645,1443,707,1483,620
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:36",11,1910,222,1909,220,2147483647,186,1843,157
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:40",4,1530,10,1528,8,1459,63,1498,14
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:43",8,770,222,770,221,776,252,717,281
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:46",5,1910,10,1909,8,2147483647,60,1798,163
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:24:56",13,390,434,390,433,352,408,271,388
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:00",25,390,858,389,857,348,780,246,782
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:03",15,1150,434,1149,432,1176,393,1119,330
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:07",18,10,646,10,644,11,638,13,704
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:10",9,1150,222,1150,220,1119,227,1113,250
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:15",34,1530,1070,1530,1069,2147483647,2147483647,2147483647,2147483647
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:23",26,770,858,771,856,727,797,714,777
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:28",2,770,10,768,8,804,46,701,38
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:31",3,1150,10,1148,9,1091,95,1130,111
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:35",5,1910,10,1910,8,2147483647,92,1857,53
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:39",28,1530,858,1530,855,1596,845,1551,808
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:48",23,1910,646,1909,644,1829,739,1836,713
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:50",23,1910,646,1909,644,1849,765,1846,763
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:25:57",20,770,646,768,645,699,581,741,610
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:01",3,1150,10,1148,8,1115,61,1067,10
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:06",14,770,434,768,432,719,445,734,462
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:10",29,1910,858,1908,857,1885,911,1817,927
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:13",18,10,646,9,645,28,743,54,765
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:16",31,390,1070,390,1068,287,931,277,960
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:19",35,1910,1070,1909,1068,1835,1066,1875,2147483647
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:23",31,390,1070,391,1068,303,1010,277,1002
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:27",12,10,434,10,432,56,471,45,550
"mid_chinrest","619","Gazepoint GP3","2023-07-21 13:26:29",7,390,222,389,220,417,210,343,209
