"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:35",2,770,10,768,10,479,155,547,230
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:38",31,390,1070,390,1069,392,812,455,2147483647
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:40",33,1150,1070,1150,1070,1247,1057,1203,1002
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:43",2,770,10,769,10,2147483647,2147483647,2147483647,2147483647
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:45",27,1150,858,1149,860,1182,664,1088,726
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:47",20,770,646,769,646,825,629,763,575
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:49",3,1150,10,1149,10,1181,46,1099,63
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:51",11,1910,222,1909,223,1913,118,1829,130
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:53",24,10,858,11,857,72,766,0,777
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:54",24,10,858,9,858,143,832,1,860
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:34:58",4,1530,10,1530,12,1177,169,963,119
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:00",34,1530,1070,1529,1069,1514,908,1497,966
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:03",22,1530,646,1531,645,1600,542,1534,433
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:04",18,10,646,8,644,37,513,7,621
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:07",34,1530,1070,1528,1071,1506,2147483647,1568,852
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:09",12,10,434,9,433,15,225,4,207
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:11",31,390,1070,391,1068,298,722,384,967
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:13",21,1150,646,1152,645,1157,641,1207,456
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:16",11,1910,222,1910,221,1703,652,1910,72
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:18",7,390,222,390,220,489,338,440,0
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:20",9,1150,222,1149,220,1151,429,1137,15
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:22",21,1150,646,1150,648,1226,600,1100,546
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:24",32,770,1070,767,1070,776,804,671,916
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:26",18,10,646,8,646,64,559,27,422
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:29",12,10,434,8,435,70,360,17,236
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:31",29,1910,858,1908,857,2147483647,851,2147483647,703
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:35",35,1910,1070,1909,1070,2147483647,1043,2147483647,995
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:37",23,1910,646,1909,646,2147483647,592,2147483647,593
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:39",10,1530,222,1530,220,1580,143,1528,66
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:42",10,1530,222,1529,222,1611,168,1601,80
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:45",6,10,222,10,223,144,217,102,51
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:47",29,1910,858,1910,857,2147483647,925,2147483647,836
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:49",27,1150,858,1148,859,1155,781,1153,648
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:50",8,770,222,769,222,671,320,753,20
"mid_unrestricted","703","Gazepoint GP3","2021-11-30 12:35:53",15,1150,434,1149,434,1243,392,1143,190
