"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:05",19,390,646,389,646,388,649,374,597
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:07",25,390,858,390,859,401,876,354,804
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:10",12,10,434,10,434,10,429,4294967280,409
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:12",9,1150,222,1148,221,1108,229,1112,210
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:14",3,1150,10,1148,11,1108,49,1113,4294967283
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:17",26,770,858,769,857,769,895,708,798
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:19",21,1150,646,1149,644,1121,660,1091,585
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:21",14,770,434,768,432,752,434,741,396
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:24",33,1150,1070,1148,1068,1201,1188,1120,1050
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:26",27,1150,858,1148,857,1160,892,1118,814
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:29",11,1910,222,1908,223,1862,238,1880,240
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:31",28,1530,858,1529,859,1513,891,1506,848
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:34",33,1150,1070,1150,1069,1213,1182,1119,1046
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:37",21,1150,646,1149,648,1147,677,1105,588
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:40",5,1910,10,1908,12,1898,15,1890,24
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:45",31,390,1070,392,1068,412,1138,370,1079
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:46",31,390,1070,389,1069,389,1105,377,1067
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:49",32,770,1070,769,1069,775,1150,749,1049
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:49",32,770,1070,768,1070,792,1132,742,1055
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:52",5,1910,10,1910,7,1895,23,1931,7
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:54",14,770,434,769,432,739,434,752,423
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:56:56",25,390,858,389,856,398,889,386,835
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:01",17,1910,434,1909,434,1849,457,1881,419
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:05",30,10,1070,10,1069,33,1070,14,1067
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:09",15,1150,434,1148,434,1102,433,1118,406
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:12",16,1530,434,1529,432,1506,424,1490,411
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:14",20,770,646,770,646,757,644,744,615
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:18",30,10,1070,9,1071,9,1046,4294967294,1067
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:20",18,10,646,11,646,12,635,5,643
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:22",28,1530,858,1528,856,1511,867,1505,840
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:27",0,10,10,7,10,4294967291,42,4294967291,42
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:31",17,1910,434,1909,432,1839,437,1884,415
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:35",2,770,10,769,10,730,33,728,26
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:37",24,10,858,9,858,6,842,0,866
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:39",7,390,222,391,221,367,216,372,242
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:42",6,10,222,10,219,0,211,4294967291,239
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:43",19,390,646,388,645,374,633,382,605
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:46",11,1910,222,1908,223,1880,200,1876,230
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:50",0,10,10,8,9,2,37,4294967289,26
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:52",24,10,858,10,858,0,825,1,832
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:57:55",8,770,222,769,221,745,212,728,211
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:05",4,1530,10,1528,10,1513,36,1500,25
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:08",18,10,646,10,644,21,614,4,617
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:12",16,1530,434,1528,432,1495,407,1468,390
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:15",1,390,10,387,10,365,43,359,20
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:21",15,1150,434,1149,433,1086,429,1105,398
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:24",3,1150,10,1149,8,1099,32,1135,20
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:28",1,390,10,389,9,351,47,363,28
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:30",26,770,858,770,857,776,895,703,818
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:33",2,770,10,770,9,727,45,725,35
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:36",10,1530,222,1527,222,1495,240,1522,228
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:38",10,1530,222,1529,221,1499,247,1504,212
"near_chinrest","848","SR Eyelink 1000 Plus","2023-07-19 12:58:43",34,1530,1070,1529,1071,1524,1102,1485,1037
