"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X-Right","Actual-Y-Right","Actual-X-Left","Actual-Y-Left"
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:30",19,390,646,389,645,396,586,366,590
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:32",25,390,858,388,857,326,787,328,779
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:35",35,1910,1070,1911,1069,1882,946,2147483647,981
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:36",21,1150,646,1150,645,1086,577,1151,581
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:38",27,1150,858,1150,856,1121,711,1138,733
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:40",0,10,10,11,10,132,279,2147483647,2147483647
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:42",25,390,858,388,856,385,708,298,747
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:44",16,1530,434,1529,433,1456,624,1455,476
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:46",19,390,646,392,644,514,947,353,755
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:48",35,1910,1070,1909,1070,1842,1024,1849,1025
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:50",33,1150,1070,1150,1070,1134,952,1106,937
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:51",14,770,434,770,435,760,346,776,231
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:53",27,1150,858,1150,857,1145,768,1125,814
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:55",15,1150,434,1148,433,1019,566,1071,502
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:56",33,1150,1070,1149,1071,1148,926,1104,910
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:44:58",10,1530,222,1528,221,1473,285,1511,563
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:00",8,770,222,769,221,787,419,762,198
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:02",8,770,222,768,222,799,287,756,105
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:04",23,1910,646,1910,646,1895,530,1859,645
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:06",32,770,1070,769,1069,804,934,748,988
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:09",0,10,10,10,7,60,43,2147483647,2147483647
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:10",21,1150,646,1148,644,1108,569,1074,633
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:12",20,770,646,770,644,730,504,846,508
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:14",29,1910,858,1910,856,1801,807,1881,839
"near_chinrest","937","Gazepoint GP3","2022-04-06 16:45:16",7,390,222,389,222,516,314,447,215
